1,1,"""2, 10""",
1,1,"""1, 10, 3, 16, 4, 16""",
1,1,"""2, 16, 4, 16, 55, 10, 54, 32""",
1,1,"""3, 16, 5, 10, 2, 16"" ",
1,1,"""4, 10, 6, 10""",
1,1,"""5, 10, 8, 10, 7, 16""",
1,1,"""6, 16, 8, 20""",
1,1,"""6, 10, 9, 16""",
1,1,"""8, 16, 10, 10""",
1,1,"""9, 10, 11, 16""",
1,1,"""10, 16, 12, 16""",
1,1,"""11, 16, 13, 8""",
1,1,"""12, 8, 14, 8""",
1,1,"""13, 8, 15, 8""",
1,1,"""14, 8, 16, 20""",
1,1,"""15, 20, 19, 25"" ",
1,1,"""16, 25, 20, 16, 47, 32""",
1,1,"""19, 16, 21, 10""",
1,1,"""20, 10, 22, 32, 23, 25""",
1,1,"""21, 32""",
1,1,"""21, 25, 36, 16, 33, 20, 24, 16""",
1,1,"""23, 16, 25, 16""",
1,1,"""24, 16, 26, 16, 27, 16, 28, 25""",
1,1,"""25, 16, 27, 20""",
1,1,"""26, 20, 25, 16, 28, 16""",
1,1,"""25, 25, 27, 16, 29, 8""",
1,1,"""28, 8, 30, 10""",
1,1,"""32, 25, 101, 38""",
1,1,"""30, 25, 33, 10, 35, 32""",
1,1,"""23, 20. 32, 10""",
1,1,"""32, 32, 39, 10""",
1,1,"""23, 16, 37, 16""",
1,1,"""36, 16, 38, 16""",
1,1,"""37, 16, 43, 16""",
1,1,"""35, 16, 94, 26, 40, 16""",
1,1,"""39, 16, 41, 10""",
1,1,"""40, 10, 42, 16""",
1,1,"""41,16, 45, 32, 72, 40, 91, 32""",
1,1,"""38, 16, 44, 10""",
1,1,"""43, 10, 45, 16""",
1,1,"""44, 16, 42, 32, 46, 25""",
1,1,"""45, 25, 47, 25, 54, 32, 71, 20""",
1,1,"""46, 25, 19, 32, 48, 10""",
1,1,"""47, 10, 49, 16""",
1,1,"""48, 16,  50, 20""",
1,1,"""48, 20, 51, 10""",
1,1,"""50, 10, 52, 10""",
1,1,"""51, 10, 53, 10""",
1,1,"""52, 10, 54, 32""",
1,1,"""53, 32, 46, 32, 55, 32, 71, 20""",
1,1,"""3, 10, 56, 10""",STAIR NODE
1,1,"""55, 10, 57,10, 58, 20""",
1,1,"""56, 10""",
1,1,"""56, 20, 59, 16""",
1,1,"""58, 16, 60, 20""",
1,1,"""59, 20, 61, 32""",
1,1,"""60, 32, 62, 10""",
1,1,"""61, 10, 63, 20""",
1,1,"""62, 20, 64, 10, 65, 8""",
1,1,"""63, 10""",
1,1,"""63, 8, 66, 10""",
1,1,"""65, 10, 67, 20""",
1,1,"""66, 20, 68, 10""",
1,1,"""67, 10, 69, 10""",
1,1,"""68, 10, 70, 16""",
1,1,"""69, 16, 71, 28""",
1,1,"""54, 20, 46, 20""",
1,1,"""42, 40, 73, 32, 87, 20, 75, 40""",
1,1,"""72, 32,74,32""",
1,1,"""73, 32""",
1,1,"""72, 40, 76, 26, 78, 16""",
1,1,"""75, 26, 77, 16""",
1,1,"""76, 16, 78, 25""",
1,1,"""75, 16, 77, 25, 79, 10, 80, 20""",
1,1,"""78, 10""",
1,1,"""78, 20, 81, 32""",
1,1,"""80, 32, 82, 16""",
1,1,"""81, 16, 83, 32""",
1,1,"""82, 32, 84, 25""",
1,1,"""83, 25, 85, 16, 88, 16, 120, 16""",
1,1,"""84, 16, 86, 16""",
1,1,"""85, 16, 87, 25""",
1,1,"""86, 25, 72, 20",
1,1,"""84, 16, 89, 32""",
1,1,"""88, 32, 90, 20, 116, 12, 92, 32""",
1,1,"""29, 20, 91, 16""",
1,1,"""42, 32, 90, 16""",
1,1,"""89, 32, 93, 16""",
1,1,"""92, 16, 94, 32, 97, 10, 95, 28""",
1,1,"""93, 32, 39, 26""",
1,1,"""93, 28, 96, 20""",
1,1,"""95, 20, 106, 16""",
1,1,"""93, 10, 100, 40, 98, 32""",
1,1,"""97, 32,99, 32""",
1,1,"""98, 32, 100, 32""",
1,1,"""103, 10, 97, 40, 99, 32""",
1,1,"""30, 38, 102, 10,103,32""",
1,1,"""101, 10""",
1,1,"""101, 32, 100, 10, 104, 40""",
1,1,"""103, 40, 105, 10""",
1,1,"""104, 10, 108, 16, 106,35, 107, 32""",
1,1,"""96, 16, 105,35, 107, 16""",
1,1,"""109, 32, 106, 16, 105, 32""",
1,1,"""105, 16, 109, 32""",
1,1,"""107, 32, 108, 32, 110, 16""",
1,1,"""109, 16, 111, 20""",
1,1,"""110, 20, 112, 10""",
1,1,"""111,10, 113, 10""",
1,1,"""112, 10, 114, 10""",
1,1,"""113,10""",
1,1,"""89, 112,117, 25""",
1,1,"""116, 25, 118, 16""",
1,1,"""117, 16, 119, 32""",
1,1,"""118, 32, 120, 25, 121, 32, 125, 32""",
1,1,"""119, 25, 84, 16""",
1,1,"""119, 32, 122, 16""",
1,1,"""121,16, 123, 25""",
1,1,"""122, 25, 124, 16""",
1,1,"""123, 16""",
1,1,"""119, 32, 126, 20""",
1,1,"""125, 20, 127, 16""",
1,1,"""126, 16, 128, 10""",
1,1,"""127, 10,129, 16, 130, 10""",
1,1,"""128, 16""",
1,1,"""128, 10, 131, 8""",
1,1,"""130, 8, 132, 20""",
1,1,"""131, 20, 133, 16""",
1,1,"""132, 20, 134, 16""",
1,1,"""133, 16",
0,1,"""137,  80""",
0,1,"""136, 80, 138, 48""",
0,1,"""137, 48, 139, 24, 162, 48""",
0,1,"""138, 24, 140, 40, 155, 16, 162, 64""",
0,1,"""139, 40, 141, 32""",
0,1,"""140,32, 142, 32""",
0,1,"""141, 32, 143, 32""",
0,1,"""142, 32, 144, 16""",
0,1,"""143, 16, 145, 32""",
0,1,"""144, 32, 150, 16""",
0,1,"""145, 16, 151, 16""",
0,1,"""150, 16, 152, 16, 153, 56""",
0,1,"""151, 16""",
0,1,"""151, 56, 154, 8, 156, 16""",
0,1,"""153, 8, 155, 40""",
0,1,"""154, 40, 139, 16""",
0,1,"""153, 16, 157, 16""",
0,1,"""156, 16, 158, 16""",
0,1,"""158, 16, 159, 8, 160, 24""",
0,1,"""158, 8""",
0,1,"""158, 16, 161, 32""",
0,1,"""160, 32, 162, 40""",
0,1,"""161, 40, 139, 64, 163, 56""",
0,1,"""162, 56, 164, 8""",
0,1,"""163,8""",STAIR NODE
2,1,"""202, 86, 204, 54""",
2,1,"""201, 86, 203, 43""",
2,1,"""202, 43, 204, 54, 207, 43""",
2,1,"""201, 54, 203, 54, 208, 64""",
